任务数量： 500
实际：mu=459.000000   sigma=43.000000

   1:  mu=388.000000   Gap=0.154684      sigma=0.000000    Gap=1.000000
   2:  mu=412.500000   Gap=0.101307      sigma=24.500000    Gap=0.430233
   3:  mu=422.666667   Gap=0.079158      sigma=24.635115    Gap=0.427090
   4:  mu=440.500000   Gap=0.040305      sigma=37.539979    Gap=0.126977
   5:  mu=444.800000   Gap=0.030937      sigma=34.660641    Gap=0.193939
   6:  mu=450.166667   Gap=0.019245      sigma=33.839901    Gap=0.213026
   7:  mu=457.714286   Gap=0.002801      sigma=36.377836    Gap=0.154004
   8:  mu=455.250000   Gap=0.008170      sigma=34.647330    Gap=0.194248
   9:  mu=456.777778   Gap=0.004841      sigma=32.950393    Gap=0.233712
  10:  mu=449.900000   Gap=0.019826      sigma=37.455173    Gap=0.128949
  11:  mu=444.000000   Gap=0.032680      sigma=40.292115    Gap=0.062974
  12:  mu=452.250000   Gap=0.014706      sigma=47.295393    Gap=0.099893
  13:  mu=453.692308   Gap=0.011564      sigma=45.713800    Gap=0.063112
  14:  mu=451.928571   Gap=0.015406      sigma=44.507566    Gap=0.035060
  15:  mu=455.866667   Gap=0.006826      sigma=45.453077    Gap=0.057048
  16:  mu=455.687500   Gap=0.007217      sigma=44.015223    Gap=0.023610
  17:  mu=455.470588   Gap=0.007689      sigma=42.709852    Gap=0.006748
  18:  mu=459.333333   Gap=0.000726      sigma=44.457220    Gap=0.033889
  19:  mu=460.421053   Gap=0.003096      sigma=43.516864    Gap=0.012020
  20:  mu=462.150000   Gap=0.006863      sigma=43.079316    Gap=0.001845
  21:  mu=458.523810   Gap=0.001037      sigma=45.060403    Gap=0.047916
  22:  mu=453.545455   Gap=0.011884      sigma=49.584388    Gap=0.153125
  23:  mu=457.173913   Gap=0.003978      sigma=51.394173    Gap=0.195213
  24:  mu=456.041667   Gap=0.006445      sigma=50.604248    Gap=0.176843
  25:  mu=456.680000   Gap=0.005054      sigma=49.680354    Gap=0.155357
  26:  mu=454.692308   Gap=0.009385      sigma=49.719033    Gap=0.156257
